dt,base_sku_id,buy_uv,view_uv
20251129,SKU599,5583,1628429
20251129,SKU158,5501,1556153
20251101,SKU599,4187,1545565
20251024,SKU610,4187,1529842
20251025,SKU1258,9606,1522995
20251129,SKU1068,11412,1462828
20251103,SKU599,2956,1454650
20251101,SKU1541,2299,1454142
20251101,SKU1258,9442,1452811
20251102,SKU599,3694,1446534
20251130,SKU158,6158,1444125
20251025,SKU197,3612,1437151
20251128,SKU599,3612,1434425
20251129,SKU217,10755,1423076
20251129,SKU528,17241,1410143
20251025,SKU599,2299,1377048
20251024,SKU599,1478,1363988
20251102,SKU1258,5336,1360501
20251103,SKU1541,1806,1359296
20251103,SKU1258,5747,1358155
20251102,SKU1541,1888,1353400
20251129,SKU53,2627,1352766
20251126,SKU599,3038,1340403
20251129,SKU1807,4269,1338945
20251030,SKU599,3284,1322207
20251101,SKU1578,1314,1320939
20251025,SKU1578,985,1314599
20251129,SKU338,17241,1312063
20251129,SKU398,14614,1306040
20251130,SKU217,9113,1299763
20251031,SKU599,3366,1297988
20251025,SKU1463,2627,1295389
20251024,SKU1258,8210,1288161
20251025,SKU1541,2791,1285245
20251023,SKU599,1478,1283850
20251101,SKU1463,2135,1283406
20251101,SKU398,10591,1282455
20251130,SKU528,14614,1282138
20251027,SKU1258,6486,1278588
20251128,SKU1068,6486,1277447
20251129,SKU781,3859,1277193
20251127,SKU599,2381,1274467
20251101,SKU781,2791,1268190
20251025,SKU398,9934,1267810
20251025,SKU781,3120,1264640
20251126,SKU158,3777,1258427
20251028,SKU1258,5993,1258363
20251129,SKU223,2956,1254559
20251129,SKU211,9195,1252594
20251025,SKU1679,3530,1251960
20251031,SKU1258,9195,1249487
20251101,SKU2425,1642,1242830
20251027,SKU1541,1478,1240358
20251128,SKU217,6486,1238456
20251030,SKU1258,7225,1236110
20251024,SKU197,1314,1235920
20251130,SKU1068,6978,1226219
20251128,SKU528,13218,1222923
20251025,SKU1068,9688,1222669
20251101,SKU211,6732,1221021
20251128,SKU158,4680,1219499
20251031,SKU1541,2381,1217660
20251028,SKU1541,1396,1212779
20251023,SKU610,2709,1192998
20251124,SKU599,1806,1189130
20251130,SKU398,9688,1188370
20251126,SKU1068,5583,1175119
20251130,SKU781,3284,1165926
20251026,SKU1258,7061,1163263
20251103,SKU398,6404,1163073
20251027,SKU1578,1314,1158191
20251102,SKU398,6240,1157874
20251029,SKU599,3366,1156543
20251029,SKU1258,5665,1151090
20251128,SKU1807,2874,1151027
20251127,SKU1068,6486,1150583
20251024,SKU1463,1478,1150520
20251103,SKU781,2463,1148047
20251102,SKU1679,2135,1147603
20251130,SKU211,5993,1147540
20251103,SKU1679,2217,1146652
20251102,SKU1463,1314,1145321
20251102,SKU781,1888,1143229
20251130,SKU338,10837,1139869
20251027,SKU1068,6732,1134860
20251102,SKU2425,2052,1133021
20251102,SKU211,6075,1131246
20251103,SKU211,4433,1128266
20251027,SKU1463,1806,1126174
20251128,SKU338,6978,1123385
20251027,SKU398,8538,1122497
20251031,SKU1068,6158,1121800
20251031,SKU1463,1560,1121356
20251127,SKU217,6240,1120532
20251031,SKU398,9688,1120468
20251126,SKU528,13054,1119454
20251024,SKU1257,1970,1118376
20251129,SKU742,11658,1117171
20251128,SKU398,10591,1116094
20251127,SKU528,11658,1113684
20251028,SKU599,2791,1113494
